1334,1334,0,0,448,0,0,160,0,0,0,0,0,0,0,442
613,613,0,0,165,0,1999,1999,2804,2868,2868,3001,1667,1667,3093,857
412,412,0,585,0,152,3642,3635,3520,4096,4096,3922,4096,4096,3879,917
326,326,0,0,380,0,844,162,705,4096,4096,3779,4096,4096,3285,910
224,224,0,0,667,0,1007,538,339,4096,4096,3717,4096,4096,2964,926
0,0,0,0,1001,0,0,459,0,470,1039,0,3209,3209,2696,907
6,6,0,0,966,0,0,400,0,0,44,0,682,0,0,963
0,0,0,0,722,0,0,190,0,0,0,0,757,0,0,1352
1516,1516,2216,0,0,0,0,0,0,0,0,0,1283,0,0,4096
1571,1571,4096,0,102,0,0,0,0,0,0,0,1320,0,0,3944
1112,1112,4096,528,0,4096,736,528,4096,58,0,4096,0,0,4096,3907
0,0,658,1660,1588,4096,3301,3301,4096,3822,3822,4096,3816,3816,4096,785
1283,1283,0,4096,4096,4096,4096,4096,4096,3954,3954,4096,3602,3602,4096,108
597,597,0,1128,1128,465,4088,4088,4096,3966,3966,4096,985,187,795,626
537,537,0,1113,1113,319,4003,4003,4096,4065,4065,4096,808,180,726,720
120,120,0,0,220,0,0,800,0,0,305,0,0,0,0,1008
0,0,0,1192,1500,0,0,86,0,2652,2652,3496,2118,2118,1649,1198
0,0,203,809,1734,0,0,620,0,2580,2580,3340,1522,1229,1972,1733
0,0,1227,4096,4096,2713,1208,1341,380,0,977,0,189,0,0,3757
379,379,2009,0,1366,0,2523,2523,2278,2253,2253,1371,516,0,0,4096
0,0,2355,0,1187,0,0,453,0,993,824,843,1997,1997,1407,4096
1401,1401,3084,0,973,0,0,175,0,1365,1316,375,3093,3043,2398,4096
0,0,1919,0,981,0,2328,2314,2674,1736,1651,633,1157,0,95,4096
845,845,0,3142,3142,4096,3259,3259,4040,3759,3759,3555,1119,1119,3265,360
557,557,0,3168,3168,4096,3293,3293,3909,4036,4036,3277,0,0,708,714
3589,3589,3849,560,1609,0,0,1334,0,426,426,217,2093,414,1241,4096
0,0,613,1662,1662,556,1262,1262,1383,1879,1879,1936,2021,2021,1788,3315
0,0,0,777,309,4096,895,786,4096,336,0,4096,0,0,4096,2996
0,0,3815,3815,3815,4096,3691,3691,4096,3852,3852,4096,3834,3834,4096,4096
0,0,4096,741,741,1848,0,83,2035,1292,330,2222,1824,1620,1867,3787
647,647,4096,1115,1280,174,117,783,0,2445,599,538,2939,1194,934,3702
